iter	Passed	Remaining
448	1110	246140
449	1112	246116
450	1114	246092
451	1117	246070
452	1119	246040
453	1121	246004
454	1124	245977
455	1126	245936
456	1128	245887
457	1131	245836
458	1133	245799
459	1135	245775
460	1138	245739
461	1140	245735
462	1142	245711
463	1145	245666
464	1147	245628
465	1149	245603
466	1152	245576
467	1154	245570
468	1157	245565
469	1159	245563
470	1162	245551
471	1164	245561
472	1167	245556
473	1169	245546
474	1171	245546
475	1174	245551
476	1176	245539
477	1179	245539
478	1181	245553
479	1184	245537
480	1186	245499
481	1188	245476
482	1191	245450
483	1193	245409
484	1195	245378
485	1198	245337
486	1200	245289
487	1202	245248
488	1204	245208
489	1207	245162
490	1209	245119
491	1211	245097
492	1214	245079
493	1216	245047
494	1219	245050
495	1221	245097
496	1224	245112
497	1226	245140
498	1229	245156
499	1231	245150
500	1234	245162
501	1236	245176
502	1239	245169
503	1241	245160
504	1244	245128
505	1246	245107
506	1248	245072
507	1251	245023
508	1253	244987
509	1255	244938
510	1257	244892
511	1260	244846
512	1262	244866
513	1264	244829
514	1267	244793
515	1269	244770
516	1271	244753
517	1274	244728
518	1276	244715
519	1279	244687
520	1281	244683
521	1284	244732
522	1286	244731
523	1289	244727
524	1291	244725
525	1294	244730
526	1296	244728
527	1299	244723
528	1301	244728
529	1303	244712
530	1306	244693
531	1308	244680
532	1311	244656
533	1313	244608
534	1315	244565
535	1317	244539
536	1320	244495
537	1322	244491
538	1324	244483
539	1327	244446
540	1329	244415
541	1331	244377
542	1334	244346
543	1336	244288
544	1338	244255
545	1340	244222
546	1342	244167
547	1345	244126
548	1347	244078
549	1349	244041
550	1351	244007
551	1354	243987
552	1356	243987
553	1359	243959
554	1361	243937
555	1363	243933
556	1366	243930
557	1368	243933
558	1371	243919
559	1373	243922
560	1376	243903
561	1378	243878
562	1380	243874
563	1383	243858
564	1385	243827
565	1387	243807
566	1390	243786
567	1392	243808
568	1395	243799
569	1397	243785
570	1399	243769
571	1402	243761
572	1404	243745
573	1407	243736
574	1409	243720
575	1411	243705
576	1414	243696
577	1416	243673
578	1418	243655
579	1421	243647
580	1423	243627
581	1426	243678
582	1429	243702
583	1431	243687
584	1433	243678
585	1436	243665
586	1438	243646
587	1441	243630
588	1443	243643
589	1446	243676
590	1448	243710
591	1451	243731
592	1453	243732
593	1456	243729
594	1458	243717
595	1461	243705
596	1463	243688
597	1465	243674
598	1468	243640
599	1470	243614
600	1472	243570
601	1475	243542
602	1477	243511
603	1479	243479
604	1481	243442
605	1483	243399
606	1486	243369
607	1488	243363
608	1491	243381
609	1493	243409
610	1496	243433
611	1499	243457
612	1501	243478
613	1504	243485
614	1506	243480
615	1509	243495
616	1511	243490
617	1514	243473
618	1516	243455
619	1518	243442
620	1521	243407
621	1523	243413
622	1525	243378
623	1527	243337
624	1530	243305
625	1532	243279
626	1534	243259
627	1537	243248
628	1539	243232
629	1542	243221
630	1544	243201
631	1546	243171
632	1549	243172
633	1551	243163
634	1554	243175
635	1556	243200
636	1559	243223
637	1561	243234
638	1564	243251
639	1566	243247
