iter	Logloss	Accuracy	Recall	Precision	F1
95	0.3954012378	0.8625	0.8680327869	0.8623778502	0.8651960784
96	0.3927586555	0.8658333333	0.8729508197	0.8644480519	0.8686786297
97	0.3908809694	0.8679166667	0.8754098361	0.8661800487	0.8707704851
98	0.3893994114	0.86875	0.8721311475	0.8699918234	0.8710601719
99	0.3880006917	0.87	0.8770491803	0.8685064935	0.8727569331
100	0.3857493705	0.8695833333	0.8770491803	0.8678021087	0.8724011415
101	0.384923094	0.8733333333	0.8786885246	0.8729641694	0.8758169935
102	0.3826139762	0.875	0.8770491803	0.8770491803	0.8770491803
103	0.3808298471	0.8745833333	0.8770491803	0.8763308763	0.8766898812
104	0.3793867705	0.8729166667	0.8762295082	0.8740801308	0.8751534998
105	0.3779460059	0.8729166667	0.8762295082	0.8740801308	0.8751534998
106	0.3763792365	0.875	0.8786885246	0.8758169935	0.8772504092
107	0.3746067231	0.8770833333	0.8819672131	0.8769356153	0.8794442174
108	0.3723947917	0.8758333333	0.881147541	0.8754071661	0.8782679739
109	0.3700753975	0.8775	0.8836065574	0.8764227642	0.88
110	0.3689873034	0.8770833333	0.8819672131	0.8769356153	0.8794442174
111	0.3671780776	0.8791666667	0.8852459016	0.8780487805	0.8816326531
112	0.3656614074	0.8804166667	0.8860655738	0.8795768918	0.8828093099
113	0.3649791287	0.8816666667	0.887704918	0.8804878049	0.8840816327
114	0.3636902795	0.88375	0.8893442623	0.8828315704	0.8860759494
115	0.3613151418	0.8841666667	0.893442623	0.8804523425	0.8868999186
116	0.3598652806	0.88625	0.8942622951	0.8834008097	0.8887983707
117	0.358362902	0.8891666667	0.8991803279	0.8846774194	0.8918699187
118	0.3572312911	0.89125	0.9008196721	0.8870056497	0.8938592924
119	0.355410017	0.89125	0.8975409836	0.8895207149	0.8935128519
120	0.3546833117	0.8933333333	0.9008196721	0.8905996759	0.8956805216
121	0.3537558126	0.89375	0.9024590164	0.8900565885	0.8962148962
122	0.3518842518	0.8958333333	0.9049180328	0.8917609047	0.8982912937
123	0.3497259846	0.89875	0.906557377	0.8955465587	0.9010183299
124	0.3479901468	0.9016666667	0.912295082	0.8961352657	0.9041429732
125	0.3466744479	0.9016666667	0.9114754098	0.8967741935	0.9040650407
126	0.3455823052	0.90125	0.9114754098	0.8960515713	0.9036976839
127	0.3442566617	0.9020833333	0.912295082	0.8968573731	0.9045103616
128	0.3426070989	0.9020833333	0.912295082	0.8968573731	0.9045103616
129	0.3411541578	0.9054166667	0.9139344262	0.9013742926	0.9076109076
130	0.3394511099	0.9066666667	0.9163934426	0.9016129032	0.9089430894
131	0.3372690977	0.9091666667	0.9172131148	0.9053398058	0.911237785
132	0.3359791868	0.9075	0.9155737705	0.9037216828	0.9096091205
133	0.3350015588	0.9066666667	0.9147540984	0.9029126214	0.9087947883
134	0.3341745549	0.9070833333	0.9139344262	0.904298459	0.9090909091
135	0.3325356666	0.9079166667	0.9163934426	0.903799515	0.9100529101
136	0.3314680855	0.90875	0.9163934426	0.9052631579	0.9107942974
137	0.3298050582	0.9083333333	0.9180327869	0.9032258065	0.9105691057
138	0.3288945746	0.9116666667	0.9196721311	0.9077669903	0.9136807818
139	0.3283385736	0.91	0.9172131148	0.9068071313	0.9119804401
140	0.3261032235	0.9104166667	0.9180327869	0.9068825911	0.9124236253
141	0.3256092714	0.9108333333	0.9196721311	0.9063004847	0.9129373474
142	0.3250859283	0.91375	0.9213114754	0.9101214575	0.9156822811
143	0.3240599426	0.915	0.9237704918	0.9103392569	0.9170056957
144	0.3234625241	0.9158333333	0.9237704918	0.9118122977	0.917752443
145	0.3216861718	0.9166666667	0.9254098361	0.9119547658	0.918633035
146	0.321138612	0.9166666667	0.9254098361	0.9119547658	0.918633035
147	0.3199329995	0.9179166667	0.9270491803	0.9128329298	0.9198861326
148	0.3192140874	0.9191666667	0.9303278689	0.9123794212	0.9212662338
149	0.318115163	0.9204166667	0.931147541	0.9139179405	0.922452294
150	0.3161139531	0.9225	0.9344262295	0.9149277689	0.9245742092
151	0.3151316938	0.9208333333	0.931147541	0.9146537842	0.9228269699
152	0.314119567	0.9229166667	0.9319672131	0.9176755448	0.9247661651
153	0.3126945409	0.92125	0.9278688525	0.9180859692	0.922951488
